SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE
11110,종로구,465896.23,522001.4532531557,-10.7
11140,중구,500280.32,559315.4871420057,-10.6
11170,용산구,409426.42,448983.85439796635,-8.8
11200,성동구,324616.19,339493.29727138847,-4.4
11215,광진구,363765.18,382500.4410259467,-4.9
11230,동대문구,297624.51,318041.0121086957,-6.4
11260,중랑구,263446.96,268470.5335280505,-1.9
11290,성북구,335498.59,355862.2035098177,-5.7
11305,강북구,221874.09,222711.5709842216,-0.4
11320,도봉구,212382.45,219623.62372370268,-3.3
11350,노원구,436379.63,446602.04992952314,-2.3
11380,은평구,264019.36,266054.1098958626,-0.8
11410,서대문구,359691.51,382039.05990883586,-5.8
11440,마포구,536055.48,564137.1110925666,-5.0
11470,양천구,266057.82,269087.4271023843,-1.1
11500,강서구,449755.53,467427.6256065919,-3.8
11530,구로구,358959.31,369004.40743863955,-2.7
11545,금천구,155792.31,158055.61169424967,-1.4
11560,영등포구,538283.79,564985.2854207574,-4.7
11590,동작구,312898.93,332647.6298986676,-5.9
11620,관악구,382768.04,393952.25039761566,-2.8
11650,서초구,765579.08,799269.9333625524,-4.2
11680,강남구,1067396.73,1100615.0821970548,-3.0
11710,송파구,727300.11,741807.7179989482,-2.0
11740,강동구,391841.09,391689.2594218093,0.0
26110,중구,174281.91,151831.04809396915,14.8
26140,서구,117613.94,109497.59166199158,7.4
26170,동구,172634.42,151470.22443934082,14.0
26200,영도구,122981.46,114926.8911441094,7.0
26230,부산진구,444410.48,406279.99926998594,9.4
26260,동래구,271141.33,245710.20787552596,10.4
26290,남구,229141.5,219767.25107047684,4.3
26320,북구,234599.29,218486.7764596774,7.4
26350,해운대구,467102.93,434651.92663744744,7.5
26380,사하구,223557.23,210204.39184151473,6.4
26410,금정구,204044.64,196055.89540287518,4.1
26440,강서구,208416.57,209044.03216865356,-0.3
26470,연제구,173331.06,157398.78816409537,10.1
26500,수영구,221652.16,203385.56740217394,9.0
26530,사상구,174031.73,165640.43439095368,5.1
26710,기장군,228086.93,215654.49526858344,5.8
